"stateAbbreviation","state","Reciprocity","ReciprocityDetails","proofOtherOrAllStateLicense","stateResidencyProof","passportSizePhoto","driversLicensePhotoCopy","nameChangeProof","socialSecurityCopy","Hours","HoursOnly","MBLEX_or_NCBTMB","goodHealthClearance","BoardBackgroundCheckFee","stateApplyingBackgroundCheck","DOJ_backgroundCheck","applicationCost","licensingCost","licenseRenewalFee","CPR_certification","licensingETA","healthReferences","CEU","timeLicenseValidYears","liabilityInsurance","schoolTranscripts","MBLEX_transcript","LMT_jobsListed","LMT_avgHourly","LMT_avgAnnualSalary","Zillow_2BR_10cityAverageHomeValue","median2018IncomeByState","total_state_population","percent_black","percent_white","percent_two_or_more","percent_Native_American","percent_Asian","percent_Pacific_Islander","percent_Latino","cashier_jobsListed","cashier_avgHourly","cashier_avgAnnualSalary","remote_jobsListed","remote_avgHourly","remote_avgAnnualSalary","personalTrainer_jobsListed","personalTrainer_avgHourly","personalTrainer_avgAnnualSalary","houseCleaner_jobsListed","houseCleaner_avgHourly","houseCleaner_avgAnnualSalary","warehouse_jobsListed","warehouse_avgHourly","warehouse_avgAnnualSalary","security_jobsListed","security_avgHourly","security_avgAnnualSalary","nanny_jobsListed","nanny_avgHourly","nanny_avgAnnualSalary","clerical_jobsListed","clerical_avgHourly","clerical_avgAnnualSalary","tutor_jobsListed","tutor_avgHourly","tutor_avgAnnualSalary","dataScientist_jobsListed","dataScientist_avgHourly","dataScientist_avgAnnualSalary","nurses_jobsListed","nurses_avgHourly","nurses_avgAnnualSalary","personalAssistant_jobsListed","personalAssistant_avgHourly","personalAssistant_avgAnnualSalary","chiropractor_jobsListed","chiropractor_avgHourly","chiropractor_avgAnnualSalary","physicalTherapist_jobsListed","physicalTherapist_avgHourly","physicalTherapist_avgAnnualSalary","esthetician_jobsListed","esthetician_avgHourly","esthetician_avgAnnualSalary","medicalSpaEsthetician_jobsListed","medicalSpaEsthetician_avgHourly","medicalSpaEsthetician_avgAnnualSalary","medicalDoctor_jobsListed","medicalDoctor_avgHourly","medicalDoctor_avgAnnualSalary","yogaInstructor_jobsListed","yogaInstructor_avgHourly","yogaInstructor_avgAnnualSalary","pilatesInstructor_jobsListed","pilatesInstructor_avgHourly","pilatesInstructor_avgAnnualSalary","businessListings_chiropractor","businessListings_wellness_clinic","businessListings_massage_spa","businessListings_yoga","businessListings_gym","businessListings_coffee","businessListings_health_food","businessListings_hair_salon","businessListings_tanning","Rent2BR2BA_Listings_10cities","Rent2BR2BA_MinPrice__10cities","Rent2BR2BA_MaxPrice__10cities","Rent2BR2BA_AvgPrice__10cities","businessListings_jail_or_prison","businessListings_collision","businessListings_university_or_college","cosmetologist__jobsListed","cosmetologist__avgHourly","cosmetologist__avgAnnualSalary","businessListings_convalescent","autoRepairTechnician_jobsListed","autoRepairTechnician_avgHourly","autoRepairTechnician_avgAnnualSalary"
"AK","Alaska",NA,NA,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",500,"yes",NA,"yes","yes","yes","200","290",NA,NA,"12 weeks",NA,"17",NA,NA,"yes","yes",80,54.140625,NA,244501.666666667,74346,"737438","3.4","64.4","8.4","15.1","6.3","1.1","7.2",353,12.3508403361345,25689.7478991598,752,58.061835106383,120768.617021277,150,NA,NA,45,12,24960,608,16.5863486842105,34499.6052631578,529,16.3743269230769,34058.5999999999,"260",15.3557692307692,31939.9999999999,667,18.2670689655172,37995.5034482758,560,18.0928571428571,37633.1428571428,373,56.4389493967827,117393.014745308,755,59.0105761589404,110369.652980132,211,16.8815165876777,93365,74,15,31200,338,53.9225589225589,112158.922558923,75,NA,NA,623,29.0573923444976,60439.376076555,706,93.8098583569405,233076.134560907,NA,NA,NA,NA,NA,NA,948,231,1113,466,568,1049,616,1244,281,70,1590.9375,1671.875,1616.1328125,170,281,368,45,NA,40000,1239,153,50416.6666666667,26.548951048951
"AL","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",650,"yes",NA,"yes","45","yes","25","100",NA,NA,NA,NA,NA,NA,"yes","yes","yes",129,31.5,45000,104537.098360656,49861,"4887871","26.7","67.7","2.1","0.5","1.3","0.0","4.3",706,10.0387747875354,20880.6515580736,755,69.7370860927152,145053.139072848,255,12.4736842105263,25945.2631578947,281,11.6165338645418,24162.3904382469,754,14.3056034482759,29755.6551724139,713,11.265427769986,23432.0897615709,"329",14.5547112462006,30273.7993920972,733,15.3805252387449,31991.4924965894,582,18.1212113402062,37692.1195876289,561,56.1359192890442,116762.712121212,764,27.8957787958115,78926.7349102773,444,16.3153153153153,44703.9219858156,159,62.6890756302521,130393.277310924,653,50.1934306569343,104402.335766423,195,15.8451428571429,32957.8971428572,516,18.0845750988142,37615.9162055335,705,71.7751773049645,175025.565957447,"50","46.4285714285714",96571.4285714285,"80","57.1428571428571",118857.142857143,1093,266,1233,776,1035,848,959,1518,357,435,1051.29647058824,1421.66043613707,1185.27882352941,280,632,790,300,18.6322264150943,38755.0309433961,1465,155,57861.5625,20.8529411764706
"AR","Arkansas",NA,NA,"yes",NA,NA,"yes",NA,"yes","500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following: Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.",500,"yes, and state exam",NA,"yes","25","yes","75","80",NA,NA,NA,NA,"18/2","2; 18 CE hours every 2 years for license renewal.",NA,NA,"yes, and state exam",256,24.9365079365079,51036,114929.764705882,47062,"3013825","15.2","76.5","2.9","0.7","1.6","0.3","7.6",649,10.6384822804314,22128.0431432973,757,66.6050198150594,138538.441215324,205,26,54080,195,12.6666666666667,26346.6666666667,735,14.139537414966,29410.2378231293,668,12.4629491017964,25922.9341317365,"350",12.6028985507246,26214.0289855072,749,13.7089452603471,28514.606141522,420,18.6571428571429,38806.8571428572,377,50.7795883493163,105621.543766578,754,29.3517904509284,94942.3362068966,312,12.0769230769231,36379.8940397351,169,56.7982456140351,118140.350877193,627,47.1831501831502,98140.9523809524,255,13.2696078431373,27600.7843137256,274,18.1074380165289,37663.4710743801,670,71.7287835820896,198901.506319115,"82","44.7177419354839",93012.9032258065,"25","62.5",130000,1086,287,1038,629,884,749,788,1444,336,253,940.651639344262,1343.57954545455,1075.18032786885,230,509,576,486,12.4918879056047,51673.5966735967,1394,165,28134.7368421053,13.5263157894737
"AZ","Arizona","Yes"," Yes","yes","yes","yes",NA,NA,NA,"700;",700,"yes",NA,"22","yes","no","195","0",NA,NA,NA,NA,"24/2 years","2",NA,"yes","yes",682,45.8812316715543,68848.0571847507,240336.2890625,59246,"7171646","4.7","78.0","4.0","4.6","3.3","0.2","31.6",749,13.861481975968,28831.8825100134,751,70.7962716378162,147256.245006658,651,29.594470046083,61556.4976958526,659,18.9908952959029,39501.062215478,762,17.3933727034121,36178.2152230972,760,18.0093157894737,37459.3768421053,"723",17.6936376210235,36802.7662517289,755,17.6281456953642,36666.5430463575,733,28.8669849931787,60043.3287858117,673,54.047367913476,112418.52526003,770,52.3706103896104,103473.908441558,703,24.2809388335704,47331.079658606,679,56.5548961424332,117634.183976261,708,40.1451129943503,83501.8350282486,694,35.6657060518732,74184.6685878963,723,20.3789764868603,42388.2710926694,761,76.557161629435,134590.67674113,"632","56.5",117520,"626","56.1674718196457",116828.341384863,1574,1399,1520,1500,1505,1507,1531,1543,1336,792,1335.03196930946,2037.09370424597,1631.62020460358,514,1502,1515,695,24.9517985611511,51964.0287769784,1503,653,56827.2292993631,39.5847166921899
"CA","California",NA,NA,NA,NA,"yes","yes",NA,NA,"500; at least 100 anatomy & physiology",500,"no",NA,"no","yes","yes",NA,"200","200",NA,"8 weeks","no","no","2","no","yes","no",622,45.7151724137931,59737.5458937198,669171.593283582,75277,"39557045","5.8","59.5","5.1","0.8","14.7","0.4","39.3",734,14.6536784741144,30479.651226158,753,67.3897742363878,140170.730411687,611,45.5125838926174,94666.1744966442,620,19.6790322580645,40932.3870967742,760,19.2657565789474,40072.7736842106,747,23.5845046854083,49055.7697456493,"659",26.9954476479514,56150.5311077389,746,23.8182305630027,49541.9195710456,701,34.9643580599144,72725.864764622,643,75.0969755652591,156201.709175739,762,64.2923228346457,103232.364829396,660,26.901,83415.860374415,597,60.8500866551126,126568.180242634,740,64.4155405405405,133984.324324324,572,50.8903985507246,105852.028985507,180,17,35360,750,99.606,203365.173333333,"570","69.2485964912281",144037.080701754,"598","70.7906574394464",147244.567474049,1560,1221,1518,1441,1502,1500,1534,1517,1120,774,2830.45811518325,4167.00476947536,3389.39463350785,471,1373,1369,576,41.016333938294,55755.033557047,1509,601,75564.7260273973,33.4020465890183
"CO","Colorado","Yes"," by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years","yes",NA,NA,"yes","yes","yes","500;",500,"yes",NA,"yes","yes","yes",NA,"200",NA,NA,"12 weeks",NA,"24","2, expires the last day Dec. 31 within 2 years of issue","yes","yes","yes",688,39.0853924418605,65464.3092105263,327365.428571429,71953,"5695564","4.2","84.1","4.0","1.0","3.2","0.1","21.7",739,14.7242895805142,30626.5223274695,749,70.1602136181575,145933.244325768,530,32.8610476190476,68350.979047619,621,23.181578099839,48217.6824476651,758,17.6271437994723,36664.4591029024,746,18.7399262734584,38979.0466487935,"680",19.4852941176471,40529.411764706,749,17.9969959946595,37433.7516688918,696,27.246408045977,56672.5287356322,696,56.5729612207115,117671.75933908,761,50.7677398160315,81529.2930354796,636,18.353144654088,45917.6623376623,552,60.8616236162362,126592.177121771,702,50.9643874643875,106005.925925926,550,42.056880733945,87478.3119266056,563,27.4958598726115,57191.3885350319,735,80.6316326530612,158440.612244898,"542","56.3451568265683",117197.926199262,"455","57.3862637362637",119363.428571428,1495,1184,1461,1368,1399,1379,1396,1544,1158,576,1724.12720848057,2740.60433070866,2171.79946996466,593,1285,1295,641,34.7721870047544,60586.3708399366,1501,633,116115.183246073,25.1844660194175
"CT","Connecticut","Yes"," by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least Yes","yes",NA,NA,NA,NA,NA,"750; in class instruction only and 60 hours unpaid and supervised internship",750,"yes",NA,"yes","yes","yes","379.75",NA,"255",NA,NA,NA,"24/4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue","yes","yes","yes",718,40.3182451253482,50623.2590529248,212252.404761905,76348,"3572665","11.0","75.2","3.4","0.3","4.6","0.0","16.5",677,12.7202363367799,26458.0915805022,753,71.2350597609562,148168.924302789,655,39.8030534351145,82790.3511450382,635,14.2175196850394,29572.440944882,767,22.7134941329857,47244.0677966103,752,14.5997340425532,30367.4468085107,"681",18.4522760646109,38380.7342143907,750,22.1,45968,712,42.1783707865169,87731.0112359552,685,55.6647476838856,115782.675182482,768,42.4700520833333,86685.2265625,665,18.9582706766917,57602.9353383459,269,44.3755458515284,92301.1353711791,717,52.9679218967922,110173.277545328,584,28.4469178082192,59169.5890410959,90,27.5,57200,763,83.7680209698558,165658.829245283,"421","45.9964370546318",95672.5890736341,"293","56.8273381294964",118200.863309353,1537,1003,1511,1503,1501,1501,1520,1515,930,170,2081.41104294479,3078.22033898305,2393.35582822086,536,996,1298,729,24.3485939643347,80778.6195286195,1501,746,63435.6568364611,22.7339142091153
"DE","Delaware",NA,NA,"yes",NA,NA,NA,NA,"yes","500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",500,"yes",NA,"yes","yes","yes",NA,"159",NA,1,NA,NA,"24/2 years, 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online","1-2 years; On 8/31 of even years",NA,"yes","yes",656,34.9390243902439,50000,215976.058823529,64805,"967171","22.5","68.2","2.7","0.5","4.0","0.1","9.5",704,11.3000710227273,23504.1477272728,750,59.7193333333333,124216.213333333,528,23.3747514910537,48619.4831013917,708,14.4869273301738,30132.8088467615,761,17.3239159001314,36033.7450722733,743,17.1184387617766,35606.3526244953,"638",18.7115987460815,38920.1253918495,735,17.8622448979592,37153.4693877551,706,23.819157223796,49543.8470254957,571,54.1683534285332,112670.175131349,765,35.9869281045752,142818.431372549,549,16.8178506375228,40699.6429872495,282,77.8571428571429,161942.857142857,701,38.634382566586,80359.5157384989,435,46.3915492957747,96494.4225352114,140,20.9364893617021,43547.8978723404,744,85.5299059139785,99851.0571236559,"130","60.625",126100,"120","62.5",130000,1187,478,1233,1058,1164,1050,1130,1461,596,323,1790.03164556962,3006.62585034014,2343.94303797468,294,1085,927,417,26.1007462686567,54289.5522388059,1502,573,50118.2902584493,20.8097731239092
"FL","Florida",NA,NA,"yes",NA,NA,NA,NA,NA,"500; + 10 hours of Florida Law in class",500,"yes","yes","yes","yes","yes","50","105","105",NA,NA,NA,"1/1 year to 24/2years. Must have 2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice","1-2 years; On 8/31 of odd years",NA,"yes","yes",636,58.7177672955975,43786.8350951374,215245.234234234,55462,"21299325","16.0","74.6","2.9","0.3","2.8","0.1","26.1",712,11.1097893258427,23108.3617977528,754,68.9927055702918,143504.827586207,643,33.6057542768274,69899.968895801,623,16.9355939004815,35226.0353130015,755,15.8205298013245,32906.701986755,729,15.0552743484225,31314.9706447188,"610",18.6139344262295,38716.9836065574,743,18.0952624495289,37638.1458950201,729,28.7321673525377,59762.9080932784,529,61.2818875418062,127466.326086957,760,49.3539144736842,84524.5822368421,610,17.3409836065574,45790.5380333952,660,43.950390625,91416.8125,719,54.0208699472759,112363.409490334,648,32.5690586419753,67743.6419753086,362,16.0897435897436,33466.6666666667,747,102.892904953146,203854.010040161,"460","57.361875",119312.7,"350","57.1388888888889",118848.888888889,1533,1049,1516,1389,1465,1482,1480,1516,892,789,1579.81771501926,2210.44359756098,1832.84980744544,536,1216,1344,614,28.14332247557,54170.6118760757,1502,597,76047.6318359375,19.0549828178694
"GA","Georgia",NA,NA,"yes",NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",500,"yes",NA,"yes","yes","yes","125",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",389,45.1811497326203,44347.2982954545,192060.489795918,58756,"10519475","31.6","58.3","2.7","0.3","4.1","0.1","9.7",655,11.3030534351145,23510.3511450382,754,53.2261273209549,110710.344827586,388,32.3389175257732,67264.9484536082,482,19.9883474576271,41575.7627118644,679,15.720913107511,32699.4992636229,648,14.989767827529,31178.7170812603,"503",15.9294234592445,33133.2007952286,656,15.960556402439,33197.9573170731,610,28.0202868852459,58282.1967213115,464,55.1580331979442,114728.709051724,682,44.9034090909091,64274.6429618768,418,15.1336722488038,61668.7837837838,358,57.6359060402685,119882.684563758,600,51.004,106088.32,330,34.38125,71513,470,17.8423913043478,37112.1739130434,634,92.6040378548896,219496.544368601,"345","51.69140625",107518.125,"307","56",116480,1183,891,1270,1084,1194,1129,1165,1403,796,598,1457.57894736842,2433.64059590317,1892.41001697793,446,968,1085,447,30.8511904761905,59825.1488095238,1378,353,97670.1978417266,37.0503144654088
