"stateAbbreviation","state","Reciprocity","ReciprocityDetails","proofOtherOrAllStateLicense","stateResidencyProof","passportSizePhoto","driversLicensePhotoCopy","nameChangeProof","socialSecurityCopy","Hours","HoursOnly","MBLEX_or_NCBTMB","goodHealthClearance","BoardBackgroundCheckFee","stateApplyingBackgroundCheck","DOJ_backgroundCheck","applicationCost","licensingCost","licenseRenewalFee","CPR_certification","licensingETA","healthReferences","CEU","timeLicenseValidYears","liabilityInsurance","schoolTranscripts","MBLEX_transcript","LMT_jobsListed","LMT_avgHourly","LMT_avgAnnualSalary","Zillow_2BR_10cityAverageHomeValue","median2018IncomeByState","total_state_population","percent_black","percent_white","percent_two_or_more","percent_Native_American","percent_Asian","percent_Pacific_Islander","percent_Latino","cashier_jobsListed","cashier_avgHourly","cashier_avgAnnualSalary","remote_jobsListed","remote_avgHourly","remote_avgAnnualSalary","personalTrainer_jobsListed","personalTrainer_avgHourly","personalTrainer_avgAnnualSalary","houseCleaner_jobsListed","houseCleaner_avgHourly","houseCleaner_avgAnnualSalary","warehouse_jobsListed","warehouse_avgHourly","warehouse_avgAnnualSalary","security_jobsListed","security_avgHourly","security_avgAnnualSalary","nanny_jobsListed","nanny_avgHourly","nanny_avgAnnualSalary","clerical_jobsListed","clerical_avgHourly","clerical_avgAnnualSalary","tutor_jobsListed","tutor_avgHourly","tutor_avgAnnualSalary","dataScientist_jobsListed","dataScientist_avgHourly","dataScientist_avgAnnualSalary","nurses_jobsListed","nurses_avgHourly","nurses_avgAnnualSalary","personalAssistant_jobsListed","personalAssistant_avgHourly","personalAssistant_avgAnnualSalary","chiropractor_jobsListed","chiropractor_avgHourly","chiropractor_avgAnnualSalary","physicalTherapist_jobsListed","physicalTherapist_avgHourly","physicalTherapist_avgAnnualSalary","esthetician_jobsListed","esthetician_avgHourly","esthetician_avgAnnualSalary","medicalSpaEsthetician_jobsListed","medicalSpaEsthetician_avgHourly","medicalSpaEsthetician_avgAnnualSalary","medicalDoctor_jobsListed","medicalDoctor_avgHourly","medicalDoctor_avgAnnualSalary","yogaInstructor_jobsListed","yogaInstructor_avgHourly","yogaInstructor_avgAnnualSalary","pilatesInstructor_jobsListed","pilatesInstructor_avgHourly","pilatesInstructor_avgAnnualSalary","businessListings_chiropractor","businessListings_wellness_clinic","businessListings_massage_spa","businessListings_yoga","businessListings_gym","businessListings_coffee","businessListings_health_food","businessListings_hair_salon","businessListings_tanning","Rent2BR2BA_Listings_10cities","Rent2BR2BA_MinPrice__10cities","Rent2BR2BA_MaxPrice__10cities","Rent2BR2BA_AvgPrice__10cities","businessListings_jail_or_prison","businessListings_collision","businessListings_university_or_college","cosmetologist__jobsListed","cosmetologist__avgHourly","cosmetologist__avgAnnualSalary","businessListings_convalescent","autoRepairTechnician_jobsListed","autoRepairTechnician_avgHourly","autoRepairTechnician_avgAnnualSalary"
"AK","Alaska",NA,NA,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",500,"yes",NA,"yes","yes","yes","200","290",NA,NA,"12 weeks",NA,"17",NA,NA,"yes","yes",134,45.2731092436975,97500,244501.666666667,74346,"737438","3.4","64.4","8.4","15.1","6.3","1.1","7.2",375,13.3803287671233,27831.0838356165,750,45.8413333333333,95349.9733333333,100,NA,NA,45,12,24960,650,17.3182461538462,36021.9520000001,504,16.1947791164659,33685.1405622491,"185",14.5135135135135,30188.1081081081,641,18.4434321372855,38362.3388455538,646,18.7635448916409,39028.1733746131,227,64.9038461538462,135000,775,51.0092451612903,95338.0361290322,225,20.3522727272727,46437,125,15,31200,308,62.5,130000,80,21,43680,620,23.7121612903226,49321.295483871,609,80.9085221674877,209755.921052632,25,NA,NA,NA,NA,NA,948,231,1083,466,568,1049,616,1240,281,65,1503.81355932203,1633.875,1533.51694915254,170,281,368,45,NA,40000,1239,140,45000,27.5
"AL","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",650,"yes",NA,"yes","45","yes","25","100",NA,NA,NA,NA,NA,NA,"yes","yes","yes",123,33.4758064516129,44814.4871794872,104537.098360656,49861,"4887871","26.7","67.7","2.1","0.5","1.3","0.0","4.3",664,10.7795557228916,22421.4759036145,751,42.5612516644474,88527.4034620506,290,26.1851851851852,54465.1851851852,290,12.6136363636364,26236.3636363637,755,13.8330331125828,28772.7088741722,732,11.9725068306011,24902.8142076503,"255",14.4285714285714,30011.4285714285,724,14.3670580110497,29883.4806629834,582,18.9406529209622,39396.5580756014,466,63.8837918060202,132878.286956522,816,30.1455269607843,72081.5742574257,408,11.7578042328042,24652.8925619835,122,25.5,53040,692,42.5,88400,205,17.1461111111111,35663.9111111111,468,17.0112866817156,35383.4762979684,717,65.6953974895397,180253.691073919,25,NA,NA,70,NA,NA,1093,266,1081,776,1035,848,959,1519,357,428,1033.47846889952,1429.0534591195,1171.42942583732,280,632,790,248,19.7323776223776,31500,1465,160,53578.5,15.6315789473684
"AR","Arkansas",NA,NA,"yes",NA,NA,"yes",NA,"yes","500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following: Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.",500,"yes, and state exam",NA,"yes","25","yes","75","80",NA,NA,NA,NA,"18/2","2; 18 CE hours every 2 years for license renewal.",NA,NA,"yes, and state exam",231,21.2212389380531,42278,114929.764705882,47062,"3013825","15.2","76.5","2.9","0.7","1.6","0.3","7.6",644,11.2929755671902,23489.3891797556,754,37.4927055702918,77984.8275862069,215,26,54080,195,13.6081081081081,28304.8648648648,738,14.4195460704607,29992.6558265583,636,13.1107072368421,27270.2710526316,"328",13.7042682926829,28504.8780487804,734,13.4775204359673,28033.242506812,598,17.3804347826087,36151.3043478261,428,61.6358805668014,128202.631578947,811,32.6803329223181,75598.580495356,282,14,42876.9657039711,110,30,62400,610,49.8454198473282,103678.473282443,222,13.6065573770492,28301.6393442623,303,15.6692015209125,32591.939163498,681,98.6989720998532,201045.149045521,70,12.5,26000,15,NA,NA,1086,287,1040,629,884,749,788,1445,336,253,936.770491803279,1338.38764044944,1071.28278688525,230,509,576,488,12.9353540772532,51552.7950310559,1394,197,71000,13.0277777777778
"AZ","Arizona","Yes"," Yes","yes","yes","yes",NA,NA,NA,"700;",700,"yes",NA,"22","yes","no","195","0",NA,NA,NA,NA,"24/2 years","2",NA,"yes","yes",732,37.3333333333333,75990.2663934426,240336.2890625,59246,"7171646","4.7","78.0","4.0","4.6","3.3","0.2","31.6",762,13.505905511811,28092.2834645669,735,37.656462585034,78325.4421768707,635,21.3574803149606,44423.5590551181,722,17.7368421052632,36892.6315789475,786,19.6712468193384,40916.1933842239,824,16.2943507281553,33892.249514563,"715",17.7482517482517,36916.3636363635,751,17.7090545938748,36834.8335552596,737,28.2820624151967,58826.6898236091,670,52.2597947761192,108700.373134328,840,65.4044642857143,113914.468452381,696,18.3591954022989,64813.3125,675,25.1044776119403,52217.3134328358,797,41.0095294855709,85299.8213299875,676,32.1745562130178,66923.076923077,674,16.3019287833828,33908.0118694362,777,24.8931788931789,95656.037966538,521,42.063339731286,87491.7466410749,545,13.7293577981651,28557.0642201834,1574,1399,1523,1500,1505,1507,1531,1536,1336,784,1316.17700258398,1977.1124260355,1595.76098191214,514,1502,1515,742,24.9693396226415,42917.7897574124,1503,699,65319.587628866,25.5200286123033
"CA","California",NA,NA,NA,NA,"yes","yes",NA,NA,"500; at least 100 anatomy & physiology",500,"no",NA,"no","yes","yes",NA,"200","200",NA,"8 weeks","no","no","2","no","yes","no",633,38.0969305331179,75806.2848432056,669171.593283582,75277,"39557045","5.8","59.5","5.1","0.8","14.7","0.4","39.3",757,14.9560766182299,31108.6393659182,751,44.3195739014647,92184.7137150466,590,43.8033898305085,91111.0508474577,622,18.7102893890675,38917.4019292604,790,22.1244810126582,46018.9205063291,783,23.447962962963,48771.762962963,"619",25.8739903069467,53817.8998384491,760,21.4286381578947,44571.567368421,740,37.1473581081081,77266.5048648649,624,77.9251242699144,162084.258481422,809,54.1443757725587,99045.2021013597,662,23.1001510574018,85083.2056074766,566,32.2587800369686,67098.2624768947,768,73.6640287769784,153221.179856115,573,60.5134408602151,125867.956989247,205,17.3888888888889,36168.8888888889,773,60.108020698577,151661.97542044,526,30.7380038387716,63935.0479846449,536,35.9081836327345,74689.0219560878,1560,1221,1518,1441,1502,1500,1534,1516,1120,753,2800.09421265141,4221.74330708661,3384.55518169583,471,1373,1369,596,35.2837127845884,52941.4682539683,1509,616,82321.8253968254,33.5945424292845
"CO","Colorado","Yes"," by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years","yes",NA,NA,"yes","yes","yes","500;",500,"yes",NA,"yes","yes","yes",NA,"200",NA,NA,"12 weeks",NA,"24","2, expires the last day Dec. 31 within 2 years of issue","yes","yes","yes",708,38.0928672316384,65703.5256410256,327365.428571429,71953,"5695564","4.2","84.1","4.0","1.0","3.2","0.1","21.7",725,14.4504827586207,30057.0041379311,743,42.349932705249,88087.8600269179,604,30.8580968280467,64184.8414023371,617,22.8961426256078,47623.9766612642,854,17.6549004683841,36722.1929742389,780,21.1391025641026,43969.3333333334,"674",18.3115727002967,38088.0712166171,734,20.1235694822888,41857.0245231607,701,30.8530670470756,64174.3794579172,668,51.0203319322894,106122.290419162,843,35.9925860023725,75881.1470937129,636,18.4794059405941,53300.5078616352,544,29.835538752363,62057.920604915,776,55.7757731958763,116013.608247423,588,43.1783876500858,89811.0463121785,660,17.9977121212121,37435.2412121212,777,37.9237065637066,145403.722007722,517,60.2032854209446,125222.833675565,428,65.755534351145,136771.511450382,1495,1184,1459,1368,1399,1379,1396,1541,1158,575,1721.98407079646,2736.89885496183,2183.48672566372,593,1285,1295,639,28.2925867507886,61817.8233438486,1501,668,118480.243161094,39.8898176291793
"CT","Connecticut","Yes"," by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least Yes","yes",NA,NA,NA,NA,NA,"750; in class instruction only and 60 hours unpaid and supervised internship",750,"yes",NA,"yes","yes","yes","379.75",NA,"255",NA,NA,NA,"24/4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue","yes","yes","yes",739,40.1752368064953,50955.9539918809,212252.404761905,76348,"3572665","11.0","75.2","3.4","0.3","4.6","0.0","16.5",689,12.741473149492,26502.2641509434,752,44.4042553191489,92360.8510638297,650,30.2423076923077,62904,645,17.1614341085271,35695.7829457364,788,27.0460025380711,56255.6852791879,1142,21.5457443082312,44815.1481611209,"668",22.4588323353293,46714.3712574849,754,19.2706631299735,40082.9793103449,720,46.2958333333333,96295.3333333333,694,61.3936615524731,127698.816029144,815,39.1720858895706,97395.4116564417,623,17.7879213483146,56753.2953451043,263,24.3251121076233,50596.2331838565,776,43.6198453608247,90729.2783505154,661,20.82223903177,43310.2571860816,70,NA,NA,783,29.7701149425287,192274.660280971,432,30.5590277777778,63562.7777777778,260,36.1442307692308,75180.0000000001,1537,1003,1511,1503,1501,1501,1520,1516,930,168,2133.225,3099.87603305785,2452.6875,536,996,1298,691,27.6013024602026,76295.2243125904,1501,748,57899.8663101604,26.7767379679144
"DE","Delaware",NA,NA,"yes",NA,NA,NA,NA,"yes","500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",500,"yes",NA,"yes","yes","yes",NA,"159",NA,1,NA,NA,"24/2 years, 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online","1-2 years; On 8/31 of even years",NA,"yes","yes",657,32.7798387096774,50000,215976.058823529,64805,"967171","22.5","68.2","2.7","0.5","4.0","0.1","9.5",670,11.2044776119403,23305.3134328358,760,49.3539473684211,102656.210526316,494,23.8132911392405,49531.6455696202,713,13.7117812061711,28520.5049088359,802,15.7350374064838,32728.8778054863,749,17.6275033377837,36665.2069425901,"527",18.2865275142315,38035.9772296015,738,16.0493089430894,33382.5626016259,684,24.0488377192982,50021.5824561402,592,62.3581275987524,129704.905405405,801,34.850811485643,147398.215980025,510,16.7635,53277.1939834025,319,42.6569579288026,88726.4724919094,718,38.8770737327189,80864.3133640553,438,26.375,54860,165,18.125,37700,785,42.0643312101911,82366.1401273885,115,19,39520,110,NA,NA,1187,478,1231,1058,1164,1050,1130,1466,596,334,1866.11009174312,2874.25938566553,2313.07798165138,294,1085,927,505,24.5640449438202,51093.213483146,1502,582,63967.4952198853,20.5551537070524
"FL","Florida",NA,NA,"yes",NA,NA,NA,NA,NA,"500; + 10 hours of Florida Law in class",500,"yes","yes","yes","yes","yes","50","105","105",NA,NA,NA,"1/1 year to 24/2years. Must have 2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice","1-2 years; On 8/31 of odd years",NA,"yes","yes",684,58.4049707602339,53584.2142857143,215245.234234234,55462,"21299325","16.0","74.6","2.9","0.3","2.8","0.1","26.1",712,11.6636376404494,24260.3662921347,766,46.8779373368146,97506.1096605744,596,33.9209899328859,70555.6590604027,553,15.3842676311031,31999.2766726945,752,15.2980385638298,31819.920212766,743,14.6049798115747,30378.3580080754,"509",16.6134577603143,34555.9921414537,748,16.6990441176471,34734.011764706,725,25.4993172413793,53038.5798620689,529,63.3484162895928,131764.705882353,819,42.1652991452991,80954.0354090354,597,16.1317157712305,49196.9523809524,589,18.0555555555556,37555.5555555556,713,62.9487632508834,130933.427561837,593,35.166296625222,73145.8969804618,360,17.9380952380952,37311.238095238,777,68.5608108108108,148080.792149292,407,38.2302452316076,79518.9100817438,363,28.0268456375839,58295.8389261745,1533,1049,1516,1389,1465,1482,1480,1514,892,788,1577.30719794344,2200.03963414634,1824.75514138817,536,1216,1344,628,32.6036484245439,54707.2947635135,1502,527,76071.9628008753,26.5647969052224
"GA","Georgia",NA,NA,"yes",NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",500,"yes",NA,"yes","yes","yes","125",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",380,45.8266666666667,49541.6666666667,192060.489795918,58756,"10519475","31.6","58.3","2.7","0.3","4.1","0.1","9.7",597,10.9962311557789,22872.1608040201,747,42.5341365461847,88471.0040160642,411,30.5961070559611,63639.9026763991,536,17.3898305084746,36170.8474576272,720,16.8491319444444,35046.1944444444,657,14.7051750380517,30586.7640791475,"439",21.128132118451,43946.5148063781,649,16.1130431432974,33515.1297380586,632,35.0662579113924,72937.8164556962,438,57.4241975813784,119442.330969267,727,46.119257221458,68179.4662998625,398,16.5926208651399,63742.1560846561,357,15.5,32240,632,59.1362433862434,123003.386243386,346,39.235119047619,81609.0476190475,508,17.5676229508197,36540.655737705,665,45.5883157894737,211404.571428571,291,23.3576512455516,48583.9145907473,276,12,24960,1183,891,1268,1084,1194,1129,1165,1399,796,603,1553.58922558923,2586.09854014599,2017.37037037037,446,968,1085,419,28.9188179347826,57426.5129682997,1378,392,115000,21.719387755102
