stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
AL,Alabama,NA,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",yes,NA,yes,45,yes,25,100,NA,NA,NA,NA,NA,NA,yes,yes,yes,149,24.64925373,38256.625,104537.0984,49861,4887871,26.7,67.7,2.1,0.5,1.3,0,4.3,657,9.816780822,20418.90411,784,41.71811224,86773.67347,270,26.43478261,54984.34783,263,12.87055336,26770.75099,753,14.68079681,30536.05737,612,13.67687908,28447.9085,166,13.01282051,27066.66667,757,15.09687583,31401.50172,632,17.7944462,37012.4481,436,17.74503629,36909.67548,355,56.70841346,117953.5,802,28.60559392,74066.36721,436,10.75284091,36909.67548,84,24.08783784,50102.7027,664,40.70954762,84675.85905,201,17.7135,36844.08,549,19.70177903,40979.70037,743,20.22358681,241291.3459,91,62.5,130000,1100,264,1233,766,1029,848,961,1518,358,424,1026.671498,1400.549206,1158.34058
AK,Alaska,NA,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",yes,NA,yes,yes,yes,200,290,NA,NA,12 weeks,NA,17,NA,NA,yes,yes,115,50.67647059,97500,244501.6667,74346,737438,3.4,64.4,8.4,15.1,6.3,1.1,7.2,306,12.18472906,25344.23645,770,42.65064935,88713.35065,140,NA,NA,25,11.6,24128,630,16.84077778,35028.81778,417,14.97242206,31142.63789,103,12.85436893,26737.08738,681,21.52915565,44780.64376,621,17.99919485,37438.32528,250,26.7629662,55666.9697,112,54.24639423,112832.5,773,59.28402329,83557.69664,250,19.61702128,55666.9697,55,NA,NA,246,NA,NA,70,21,43680,592,27.89664696,58025.02568,669,35.66971599,233191.2839,NA,NA,NA,1505,241,1113,456,559,1051,619,1244,281,69,1404.403226,1532.583333,1431.677419
AZ,Arizona,"2. License by reciprocity based on out-of-state license (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on having been licensed in another state or United States territory for at least two of the last five years immediately preceding the application.

3. License by reciprocity based on NCBTMB certification (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on holding a current certification from the National Certification Board for Therapeutic Massage and Bodywork and has graduated from a massage school with a minimum of 500 hours.

4. License by universal acceptance (A.R.S. ? 32-4302(link is external))
The applicant is seeking licensure based on holding a license in another state or United States territory for one year and is active at the time of application, and the applicant has established residency in the State of Arizona.",yes,yes,yes,NA,NA,NA,700;,yes,NA,22,yes,no,195,0,NA,NA,NA,NA,24,2,NA,yes,yes,718,36.48189415,72501.56685,240336.2891,59246,7171646,4.7,78,4,4.6,3.3,0.2,31.6,751,13.34087883,27749.02796,779,40.54621309,84336.12323,645,21.86434109,45477.82946,661,17.60707262,36622.71104,794,18.19193955,37839.23426,638,16.88056426,35111.57367,691,17.12156295,35612.85094,773,22.32232212,46430.43001,734,29.94686649,62289.48229,680,31.05806632,64600.77794,668,45.16360223,93940.29264,823,44.0291616,94940.00182,680,18.46323529,64600.77794,704,25.78566282,53634.17867,764,42.39905105,88190.02618,698,32.25501433,67090.4298,699,16.26609442,33833.47639,781,23.24775928,89078.44686,548,56.5,117520,1573,1400,1520,1501,1505,1509,1534,1543,1340,761,1311.599201,1959.486983,1584.658455
AR,Arkansas,NA,yes,NA,NA,yes,NA,yes,"500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following:

Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.","yes, and state exam",NA,yes,25,yes,75,80,NA,NA,NA,NA,18,2; https://www.integrativehealthcare.org/Arkansas-Massage-CEU/  Massage therapy continuing education requirements for license renewal vary from state to state and the laws are constantly changing. It is our current understanding that Arkansas requires massage therapists to complete 18 CE hours every 2 years for license renewal.,NA,NA,"yes, and state exam",170,NA,42500,114929.7647,47062,3013825,15.2,76.5,2.9,0.7,1.6,0.3,7.6,620,10.43761062,21710.23009,777,39.06435006,81253.84813,275,21.84615385,45440,119,13.5,28080,732,14.45440574,30065.16393,577,11.78509532,24512.99827,295,13.29137931,27646.06897,729,14.561893,30288.73745,541,13.96210721,29041.18299,260,20.07296875,41751.775,254,33.87664027,70463.41176,791,32.3710493,98408.89539,260,13.7745,41751.775,75,13,27040,588,49.76290631,103506.8451,165,13.125,27300,306,24.28963801,50522.44706,705,18.88768794,170017.1014,45,62.5,130000,1086,287,1038,616,876,749,793,1444,335,253,942.2418033,1350.148571,1075.252049
CA,California,NA,NA,NA,yes,yes,NA,NA,"500;, at least 100 anatomy & physiology",no,NA,no,yes,yes,200,0,NA,NA,8 weeks,no,no,2,no,yes,no,609,42.01800497,74362.72877,669171.5933,75277,39557045,5.8,59.5,5.1,0.8,14.7,0.4,39.3,807,15.04925651,31302.45353,767,40.6095176,84467.79661,598,41.38795987,86086.95652,594,19.79204545,41167.45455,781,19.75758003,41095.76645,665,22.87755639,47585.31729,607,28.53706755,59357.10049,767,24.17220991,50278.19661,769,40.17360208,83561.09233,638,32.77317032,68168.19427,610,79.80405655,165992.4376,806,78.5076799,115931.5533,638,22.41966561,68168.19427,478,39.65750529,82487.61099,790,65.19927273,135614.4873,597,59.73024055,124238.9003,235,17.91935484,37272.25806,791,57.67479772,166582.3236,505,57.10315789,118774.5684,1562,1231,1518,1440,1502,1500,1535,1517,1122,753,2812.402423,4204.59271,3384.577389
CO,Colorado,yes by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years,yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,NA,200,NA,NA,12 weeks,NA,24,"2, expires the last day Dec. 31 within 2 years of issue",yes,yes,yes,708,37.1628734,43194.44444,327365.4286,71953,5695564,4.2,84.1,4,1,3.2,0.1,21.7,729,14.05555556,29235.55556,763,39.93381389,83062.3329,614,42.38341544,88157.50411,636,17.97720126,37392.57862,822,17.84127129,37109.84428,639,29.31866197,60982.8169,556,20.39118705,42413.66906,795,19.56080503,40686.47447,726,27.31818182,56821.81818,711,49.29914462,102542.2208,606,53.5569555,111398.4674,831,43.80084236,81062.29723,711,18.69900446,102542.2208,646,43.07430341,89594.55108,741,59.69365722,124162.807,588,40.12585034,83461.76871,601,23.35156177,48571.24848,780,38.78141026,127499.6051,531,67.40040307,140192.8384,1489,1190,1461,1366,1396,1380,1399,1544,1158,571,1705.293594,2701.220729,2158.296263
CT,Connecticut,"Yes by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least 1 year",yes,NA,NA,NA,NA,NA,"750;, in class instruction only and 60 hours unpaid and supervised internship",yes,NA,yes,yes,yes,379.75,NA,255,NA,NA,NA,"24 per 4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue",yes,yes,yes,758,42.11609499,49893.73087,212252.4048,76348,3572665,11,75.2,3.4,0.3,4.6,0,16.5,695,12.52093525,26043.54532,760,40.26513158,83751.47368,690,30.2942029,63011.94203,631,16.86529319,35079.80983,797,19.32165621,40189.04492,655,19.88938931,41369.92977,482,23.07572614,47997.51037,763,22.92798165,47690.20183,675,48.17037037,100194.3704,681,31.16762044,64828.65051,722,45.30623358,94236.96585,824,41.43219053,97515.03095,681,20.03671072,64828.65051,240,26.125,54340,779,51.56370968,107252.5161,615,28.14065041,58532.55285,80,17.5,36400,787,22.77382465,121633.0381,309,54.21484375,112766.875,1547,1015,1511,1503,1501,1501,1520,1515,932,173,2096.521212,3032.31746,2402.530303
DE,Delaware,NA,yes,NA,NA,NA,NA,yes,"500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",yes,NA,yes,yes,yes,NA,159,NA,1,NA,NA,"24; 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online",1-2 years; On 8/31 of even years,NA,yes,yes,597,31.77298851,50000,215976.0588,64805,967171,22.5,68.2,2.7,0.5,4,0.1,9.5,660,10.44166667,21718.66667,773,41.2606727,85822.19922,511,27.24740933,56674.6114,675,13.08518519,27217.18519,774,16.90447674,35161.31163,658,14.66223404,30497.44681,423,17.3463357,36080.37825,750,22.16266667,46098.34667,652,23.1103681,48069.56564,506,38.23182428,79522.1945,519,46.63461538,97000,820,34.87012195,150624.3366,506,13.40427699,79522.1945,316,28.7943038,59892.1519,724,49.07095652,102067.5896,466,29.19947507,60734.90814,164,19.5,40560,781,25.69533291,188888.0166,122,61.91588785,128785.0467,1196,485,1233,1053,1159,1050,1131,1461,600,325,1822.996855,2897.230241,2301.360063
FL,Florida,NA,yes,NA,NA,NA,NA,NA,500; + 10 hours of Florida Law in class,yes,yes,yes,yes,yes,50,105,105,NA,NA,NA,"2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice",1-2 years; On 8/31 of odd years,NA,yes,yes,648,31.39699074,57311.84914,215245.2342,55462,21299325,16,74.6,2.9,0.3,2.8,0.1,26.1,710,11.36784507,23645.11775,775,39.58064516,82327.74194,587,33.17457038,69003.1064,605,16.12479339,33539.57025,762,15.6600853,32572.97743,631,15.38763867,32006.28843,500,20.625,42900,756,19.12966931,39789.71217,699,24.74029328,51459.81001,585,25.15260396,52317.41624,476,51.64902499,107429.972,822,39.98965937,76255.15815,585,17.52219828,52317.41624,457,19.82603939,41238.16193,712,61.59058989,128108.427,587,51.53321976,107189.0971,358,18.60057471,38689.1954,763,58.41726737,119392.6389,377,56.94277108,118440.9639,1848,1056,1516,1387,1462,1481,1498,1516,895,775,1586.891645,2213.608828,1842.727807
GA,Georgia,NA,yes,NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,359,40.92655367,50321.53392,192060.4898,58756,10519475,31.6,58.3,2.7,0.3,4.1,0.1,9.7,610,10.55881148,21962.32787,785,36.49681529,75913.3758,448,30.00395034,62408.2167,476,17.18312102,35740.89172,679,17.18232695,35739.24006,578,12.05347092,25071.21951,392,16.41709184,34147.55102,669,17.99775785,37435.33632,593,21.22934233,44157.03204,427,35.95282685,74781.87985,349,57.69230769,120000,722,38.94565789,91110.23753,427,19.55386417,74781.87985,336,39.45552147,82067.48466,625,53.27070064,110803.0573,382,61.433687,127782.069,498,19.69979508,40975.57377,708,27.0509887,194505.5226,276,56,116480,1185,900,1270,1079,1189,1129,1168,1403,797,610,1465.893688,2281.121269,1817.792359
