stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
AL,Alabama,No,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",yes,NA,yes,45,yes,25,100,NA,NA,NA,NA,NA,NA,yes,yes,yes,109,33.01785714,45000,104537.0984,49861,4887871,26.7,67.7,2.1,0.5,1.3,0,4.3,703,9.999110953,20798.15078,740,44.68699324,92948.94595,280,18.86684783,39243.04348,293,12.77518657,26572.38806,753,13.84940239,28806.75697,743,13.30484522,27674.07806,323,14.03560372,29194.05573,722,15.94529086,33166.20499,626,19.87308307,41336.01278,416,14.49054139,30140.32609,438,56.70841346,117953.5,793,30.94010088,71491.05197,416,15.08852868,30140.32609,142,63.66666667,132426.6667,671,53.51408451,111309.2958,190,17.26941176,35920.37647,454,15.11520737,31439.63134,723,44.61168741,221154.426,79,46.17088608,96035.44304,80,62.5,130000,1093,266,1233,776,1035,848,959,1518,357,431,1031.591449,1417.816199,1166.543943
AK,Alaska,No,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",yes,NA,yes,yes,yes,200,290,NA,NA,12 weeks,NA,17,NA,NA,yes,yes,115,53.7125,NA,244501.6667,74346,737438,3.4,64.4,8.4,15.1,6.3,1.1,7.2,338,12.5,26000,757,58.53352048,121749.7226,140,NA,NA,70,12,24960,598,17.55585284,36516.17391,541,16.9375,35230,252,15.36904762,31967.61905,605,17.96005833,37356.92133,577,22.0940208,45955.56326,130,44.88701923,93365,171,NA,NA,746,53.72324397,92885.0248,130,16,93365,81,15,31200,352,53.9688716,112255.2529,80,17.1,35568,626,23.73556709,49369.97955,651,74.04044547,206072.8648,46,37.5,78000,NA,NA,NA,948,231,1113,466,568,1049,616,1244,281,73,1548.984848,1671.875,1570.174242
AZ,Arizona,"Yes; 2. License by reciprocity based on out-of-state license (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on having been licensed in another state or United States territory for at least two of the last five years immediately preceding the application.
3. License by reciprocity based on NCBTMB certification (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on holding a current certification from the National Certification Board for Therapeutic Massage and Bodywork and has graduated from a massage school with a minimum of 500 hours.
4. License by universal acceptance (A.R.S. ? 32-4302(link is external))
The applicant is seeking licensure based on holding a license in another state or United States territory for one year and is active at the time of application, and the applicant has established residency in the State of Arizona.",yes,yes,yes,NA,NA,NA,700;,yes,NA,22,yes,no,195,0,NA,NA,NA,NA,24/2 years,2,NA,yes,yes,745,44.95302013,63449.16107,240336.2891,59246,7171646,4.7,78,4,4.6,3.3,0.2,31.6,756,12.56597222,26137.22222,749,59.8271028,124440.3738,633,31.61295419,65754.94471,697,17.83357245,37093.8307,797,18.74813676,38996.12447,801,21.70724095,45151.06117,728,19.51923077,40600,755,18.34619205,38160.07947,750,29.05933333,60443.41333,670,23.69587077,49287.41119,685,54.87541677,114140.8669,825,51.02838788,110540.8236,670,19.84776119,49287.41119,641,56.26868045,117038.8553,761,56.36495401,117239.1043,764,36.15837696,75209.42408,724,16.30870166,33922.09945,786,50.76895674,120095.2926,593,59.10623946,122940.9781,567,55.96208113,116401.1287,1574,1399,1520,1500,1505,1507,1531,1543,1336,794,1323.729592,1978.295421,1597.204719
AR,Arkansas,No,yes,NA,NA,yes,NA,yes,"500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following: Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.","yes, and state exam",NA,yes,25,yes,75,80,NA,NA,NA,NA,18/2,2; 18 CE hours every 2 years for license renewal.,NA,NA,"yes, and state exam",255,22.308,49500,114929.7647,47062,3013825,15.2,76.5,2.9,0.7,1.6,0.3,7.6,617,10.73784441,22334.71637,747,57.71586345,120048.996,215,26,54080,230,13.06976744,27185.11628,749,14.25667557,29653.88518,653,12.47787136,25953.97243,405,13.65625,28405,716,13.74092179,28581.11732,513,19.75341131,41087.09552,330,18.26688702,37995.125,342,NA,NA,808,32.25618812,88175.15321,330,13.5625,37995.125,146,51.08108108,106248.6486,624,49.3962818,102744.2661,300,12.95,26936,292,19.7759434,41133.96226,725,39.2037931,184922.5538,95,46.94444444,97644.44444,25,62.5,130000,1086,287,1038,629,884,749,788,1444,336,253,940.1803279,1332.893258,1072.72541
CA,California,No,NA,NA,yes,yes,NA,NA,500; at least 100 anatomy & physiology,no,NA,no,yes,yes,200,0,NA,NA,8 weeks,no,no,2,no,yes,no,657,45.74766355,57574.86381,669171.5933,75277,39557045,5.8,59.5,5.1,0.8,14.7,0.4,39.3,730,14.74383562,30667.17808,759,62.34107378,129669.4335,565,38.1330885,79316.82407,617,18.16916532,37791.86386,793,19.48248424,40523.56721,789,25.46091255,52958.6981,665,28.54135338,59366.01504,751,22.93046605,47695.36937,728,35.58517857,74017.17143,675,35.14384799,73099.20382,603,78.14653957,162544.8023,801,57.32089888,114196.1816,675,23.10018519,73099.20382,596,63.15549828,131363.4364,755,68.91786744,143349.1643,585,52.02477876,108211.5398,175,16.82608696,34998.26087,786,63.71506361,139434.5089,557,55.79712747,116058.0251,557,57.97413793,120586.2069,1560,1221,1518,1441,1502,1500,1534,1517,1120,761,2789.195739,4128.396899,3350.287617
CO,Colorado,Yes; by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years,yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,NA,200,NA,NA,12 weeks,NA,24,"2, expires the last day Dec. 31 within 2 years of issue",yes,yes,yes,735,39.25442177,113566.4606,327365.4286,71953,5695564,4.2,84.1,4,1,3.2,0.1,21.7,753,13.97769588,29073.60744,752,64.46642287,134090.1596,593,43.22576531,89909.59184,657,22.93085236,47696.17291,795,18.24473585,37949.05057,775,19.82856774,41243.4209,659,19.35280728,40253.83915,739,20.45039919,42536.83031,707,29.24823197,60836.32249,608,23.55608276,48996.65214,650,41.65377285,86639.84753,811,37.82213317,73888.4963,608,19.10672241,48996.65214,539,61.06214689,127009.2655,738,53.76761518,111836.6396,617,42.17810458,87730.45752,636,18.85896226,39226.64151,773,54.02551746,161513.9715,476,55.37184874,115173.4454,418,59.59284314,123953.1137,1495,1184,1461,1368,1399,1379,1396,1544,1158,582,1717.811189,2718.339695,2165.607517
CT,Connecticut,"Yes; by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least 1 year",yes,NA,NA,NA,NA,NA,750; in class instruction only and 60 hours unpaid and supervised internship,yes,NA,yes,yes,yes,379.75,NA,255,NA,NA,NA,"24/4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue",yes,yes,yes,756,39.51124339,53270.80556,212252.4048,76348,3572665,11,75.2,3.4,0.3,4.6,0,16.5,699,12.9055794,26843.60515,749,59.54072096,123844.6996,626,30.71086262,63878.59425,637,15.37912088,31988.57143,786,21.81870229,45382.90076,754,21.875,45500,683,23.64934114,49190.62958,767,20.51238592,42665.76271,681,46.42290749,96559.64758,689,23.04238305,47928.15675,682,48.71845192,101334.38,832,40.77663462,102035.6605,689,16.26269956,47928.15675,287,43.44628099,90368.26446,736,42.98641304,89411.73913,670,21.98507463,45728.95522,90,27.5,57200,779,39.35686778,170520.7304,501,47.96007984,99756.96607,280,59.358,123464.64,1537,1003,1511,1503,1501,1501,1520,1515,930,173,2127.739394,3094.387097,2440.533333
DE,Delaware,No,yes,NA,NA,NA,NA,yes,"500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",yes,NA,yes,yes,yes,NA,159,NA,1,NA,NA,"24/2 years, 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online",1-2 years; On 8/31 of even years,NA,yes,yes,663,44.22213376,50000,215976.0588,64805,967171,22.5,68.2,2.7,0.5,4,0.1,9.5,679,10.76417526,22389.48454,760,62.51677632,130034.8947,512,23.01269531,47866.40625,716,14.23413978,29607.01075,773,16.86901682,35087.55498,760,16.29934211,33902.63158,591,19.21573604,39968.73096,733,14.75545703,30691.35061,674,24.2155638,50368.3727,513,25.06746861,52140.33471,571,46.63461538,97000,801,34.43570537,134160.1348,513,17.50892857,52140.33471,333,65.50625,136253,701,39.63384798,82438.4038,474,44.53166227,92625.85752,139,16,33280,785,48.27936306,99013.8051,203,57.10591133,118780.2956,150,62.5,130000,1187,478,1233,1058,1164,1050,1130,1461,596,325,1883.289308,3174.619377,2461.441824
FL,Florida,No,yes,NA,NA,NA,NA,NA,500; + 10 hours of Florida Law in class,yes,yes,yes,yes,yes,50,105,105,NA,NA,NA,"1/1 year to 24/2years. Must have 2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice",1-2 years; On 8/31 of odd years,NA,yes,yes,701,60.06348074,46879.87013,215245.2342,55462,21299325,16,74.6,2.9,0.3,2.8,0.1,26.1,721,12.72230236,26462.3889,752,61.52393617,127969.7872,580,32.8362069,68299.31034,620,14.47399194,30105.90323,754,16.73348806,34805.65517,756,15.01732804,31236.04233,547,17.82380074,37073.50554,756,15.48082011,32200.10582,691,30.96924747,64416.03473,611,22.87214928,47574.0705,496,65.56148805,136367.8951,811,42.14752774,75890.68187,611,16.65457215,47574.0705,629,44.99226384,93583.90879,694,62.44198895,129879.337,616,34.25020292,71240.42208,365,15.64754098,32546.88525,771,64.94844358,117428.8755,452,55.52267699,115487.1681,370,59.92241379,124638.6207,1533,1049,1516,1389,1465,1482,1480,1516,892,792,1576.653453,2195.489329,1822.563299
GA,Georgia,No,yes,NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,397,43.62436224,51199.35734,192060.4898,58756,10519475,31.6,58.3,2.7,0.3,4.1,0.1,9.7,633,10.70229068,22260.76461,743,64.52473082,134211.4401,415,32.31927711,67224.09639,493,17.19979716,35775.57809,688,15.65861192,32569.91279,640,15.26546875,31752.175,470,19.5712766,40708.25532,652,16.76858129,34878.64908,621,28.42934783,59133.04348,373,31.77750498,66097.21037,400,55.57547939,115596.9971,756,48.85747354,74316.5377,373,15.69036313,66097.21037,358,56.62289562,117775.6229,626,56.54683544,117617.4177,365,33.21428571,69085.71429,485,16.96129032,35279.48387,678,41.86175516,174246.2611,326,52.74079755,109700.8589,263,56,116480,1183,891,1270,1084,1194,1129,1165,1403,796,598,1470.740678,2340.927911,1860.018644
